,phone,price
0,    Galaxy M32 4g  128   8 ,9791000
1,    Galaxy A24 4G  128   6 ,8149000
2,    Galaxy A24 4G  128   4 ,7199000
3,    Galaxy A34 5G  256   8 ,13441000
4,    Galaxy A34 5G  128   8 ,12949000
5,    Galaxy A34 5G  128   6 ,11399000
6,    Galaxy A54 5G  256   8 ,15531000
7,    Galaxy A54 5G  128   8 ,15799000
8,    Galaxy A54 5G  128   6 ,14821000
9,    Galaxy A14 4G  128   4 ,6179000
10,    Galaxy A14 4G  64   4 ,5449000
11,    Galaxy S23 Ultra 5G  512   12 ,57999000
12,    Galaxy S23 Ultra 5G  256   12 ,49199000
13,    Galaxy A04e 4g  64   3  ,3699000
14,    Galaxy A04e 4g  32   3  ,3399000
15,    Galaxy A04s 4g  32   3  ,4499000
16,    Galaxy A04 4g  64   4  ,4119000
17,    Galaxy A04 4g  32   3  ,3599000
18,    Galaxy A04s 4g  128   4  ,5791000
19,    Galaxy A04s 4g  64   4  ,4999000
20,    Galaxy F13 4g  64   4  ,5279000
21,    Galaxy A03 4G  64   4 ,4499000
22,    Galaxy M33 5G  128   8  ,8891000
23,    Galaxy A23 4G  64   4 -,7191000
24,    Galaxy A13 4G  64   4 ,7499000
25,    Galaxy A53 5G  128   8  ,14191000
26,    Galaxy A53 5G  128   6  ,13091000
27,    Galaxy S22 5G ()  256   8 ,35999000
28,    Galaxy S22 Ultra 5G ()  512   12 ,45999000
29,    Galaxy A03 Core 4G  32   2 ,3035000
30,    Galaxy S21 FE 5G  256   8 ,18199000
31,    Galaxy S21 Ultra 5G  256   12 ,39499000
32,    Galaxy A03s 4G  32   3 ,3889000
33,    Galaxy S20 FE 5G  128   8 ,16999000
34,    Galaxy A32 4G  128   6 ,11491000
