,model,Price
0,گوشی موبایل شیائومی Redmi 9C رم 3GB ظرفیت 64GB دو سیم‌ کارت,4750000 
1,گوشی موبایل شیائومی مدل Mi 11 Ultra دو سیم کارت ظرفیت 256GB رم 12GB با قابلیت 5G,37900000 
2,گوشی موبایل شیائومی مدل Redmi Note 11 Pro دو سیم‌ کارت ظرفیت 128GB رم 6GB با قابلیت 5G,9920000 
3,گوشی موبایل شیائومی مدل Redmi 9A دو سیم‌ کارت ظرفیت 64 گیگابایت رم 4 گیگابایت,5300000 
4,گوشی موبایل شیائومی مدل Redmi 9A دو سیم‌ کارت ظرفیت 32 گیگابایت,3350000 
5,گوشی موبایل شیائومی مدل Redmi Note 11S دو سیم‌ کارت ظرفیت 128GB رم 8GB,9200000 
6,گوشی موبایل شیائومی مدل Redmi Note 11 Pro دو سیم‌ کارت ظرفیت 128GB رم 6GB,9500000 
7,گوشی موبایل شیائومی مدل Redmi Note 11 Pro Plus 5G دو سیم‌ کارت ظرفیت 256GB رم 8GB با قابلیت 5G,13820000 
8,گوشی موبایل شیائومی مدل Redmi 10A دو سیم‌ کارت ظرفیت 64GB رم 3GB,4870000 
9,گوشی موبایل شیائومی مدل 12X دو سیم‌ کارت ظرفیت 256 گیگابایت رم 8 گیگابایت با قابلیت 5G,17600000 
10,گوشی موبایل شیائومی مدل Poco X4 Pro 5G دو سیم‌ کارت ظرفیت 256GB رم 8GB با قابلیت 5G,12200000 
11,گوشی موبایل شیائومی مدل Redmi 10C دو سیم‌ کارت ظرفیت 64GB رم 4GB,6300000 
12,گوشی موبایل شیائومی مدل Poco C40 دو سیم‌ کارت ظرفیت 64 گیگابایت و 4 گیگابایت رم,4600000 
13,گوشی موبایل شیائومی مدل Poco X5 Pro 5G دو سیم‌ کارت ظرفیت 256GB رم 8GB با قابلیت 5G,13250000 
14,گوشی موبایل شیائومی مدل Redmi Note 12 دو سیم‌ کارت ظرفیت 128GB رم 4GB,7450000 
15,گوشی موبایل شیائومی مدل Redmi Note 12 دو سیم‌ کارت ظرفیت 128GB رم 6GB,7700000 
16,گوشی موبایل شیائومی مدل Redmi Note 12 دو سیم‌ کارت ظرفیت 128GB رم 8GB,7900000 
17,گوشی موبایل شیائومی مدل Poco M5s دو سیم‌ کارت ظرفیت 256GB رم 8GB,9200000 
18,گوشی موبایل شیائومی مدل Redmi 12C دو سیم‌ کارت ظرفیت 128GB رم 6GB,6160000 
19,گوشی موبایل شیائومی مدل Redmi 12C دو سیم‌ کارت ظرفیت 128GB رم 4GB,5300000 
20,گوشی موبایل شیائومی مدل Redmi Note 12S دو سیم‌ کارت ظرفیت 256GB رم 8GB,9590000 
21,گوشی موبایل شیائومی مدل Redmi Note 12 Pro Plus 5G دو سیم‌ کارت ظرفیت 256GB رم 8GB با قابلیت 5G,17500000 
22,گوشی موبایل شیائومی مدل Poco F5 دو سیم‌ کارت ظرفیت 256GB رم 12GB با قابلیت 5G,17200000 
23,گوشی موبایل شیائومی مدل Poco M5 ظرفیت 128GB رم 4GB دو سیم‌ کارت,5990000 
24,گوشی موبایل شیائومی مدل Poco M5s دو سیم‌ کارت ظرفیت 128GB رم 4GB,7460000 
